id,url,longitude,latitude,found,revised,host-id,room_type,bedrooms,capacity,reviews,min_nights,price
airbnb59ad97668a46551f54f8d56b1,https://www.airbnb.es/rooms/22683763,2.121830340114153,41.424720603165675,2018-04-08 02:52:28.649000,2018-09-17 01:31:29.981000,airbnb161564321,private_room,0,3,0,1,
airbnb59ad97668a46551f54f8d56b2,https://www.airbnb.es/rooms/22683758,2.121753015722774,41.424809192687775,2018-04-08 02:52:28.649000,2018-09-17 01:31:18.619000,airbnb161564321,private_room,0,2,0,1,
airbnb59ad97668a46551f54f8d56b3,https://www.airbnb.es/rooms/22683757,2.1218196476671896,41.42516847243785,2018-04-08 02:52:28.649000,2018-09-17 01:31:38.086000,airbnb161564321,private_room,0,3,0,1,
airbnb59ad97668a46551f54f8d56b4,https://www.airbnb.es/rooms/23287766,2.1431905413610477,41.43444115954618,2018-04-24 09:48:31.998000,2018-06-07 04:12:08.277000,airbnb126777507,private_room,1,2,6,1,34
airbnb59ad97668a46551f54f8d56b5,https://www.airbnb.es/rooms/9154907,2.1441603810070493,41.43199868928328,2017-08-15 11:44:30.605000,2018-04-17 01:00:00.456000,airbnb47659327,private_room,0,1,0,1,28
airbnb59ad97668a46551f54f8d56b6,https://www.airbnb.es/rooms/24038233,2.142747054621278,41.43192672119618,2018-04-08 03:08:19.372000,2018-06-07 04:09:41.701000,airbnb127385167,private_room,2,2,5,1,36
airbnb59ad97668a46551f54f8d56b7,https://www.airbnb.es/rooms/19978595,2.1428549676447357,41.43317919742628,2017-08-15 11:44:26.482000,2018-05-12 10:54:43.226000,airbnb3185706,entire_home,2,4,0,5,49
airbnb59ad97668a46551f54f8d56b8,https://www.airbnb.es/rooms/19858657,2.142969284066474,41.43263418965463,2017-08-15 11:44:30.605000,2018-06-07 04:11:38.868000,airbnb140437772,private_room,1,1,8,1,22
airbnb59ad97668a46551f54f8d56b9,https://www.airbnb.es/rooms/3896109,2.142516880926639,41.433710984840175,2017-08-15 11:44:22.512000,2018-06-07 04:11:56.039000,airbnb20168153,private_room,1,2,140,2,42
airbnb59ad97668a46551f54f8d56b10,https://www.airbnb.es/rooms/21500552,2.142336114331493,41.433386449389126,2018-04-08 03:08:19.371000,2018-06-07 04:12:04.590000,airbnb20168153,private_room,2,4,6,2,104
airbnb59ad97668a46551f54f8d56b11,https://www.airbnb.es/rooms/7954984,2.142282867207181,41.43305001061279,2017-08-15 11:44:18.576000,2018-06-07 04:12:00.756000,airbnb20168153,private_room,1,2,91,2,38
airbnb59ad97668a46551f54f8d56b12,https://www.airbnb.es/rooms/3351399,2.141822972556269,41.43156262894587,2017-08-15 11:44:34.577000,2018-04-17 01:00:10.351000,airbnb6694822,entire_home,3,4,5,7,64
airbnb59ad97668a46551f54f8d56b13,https://www.airbnb.es/rooms/22540220,2.141624875280386,41.43200736293667,2018-04-08 03:08:19.372000,2018-04-17 01:00:07.061000,airbnb45460198,private_room,1,2,1,1,29
airbnb59ad97668a46551f54f8d56b14,https://www.airbnb.es/rooms/19679097,2.1411183055051217,41.43158919864058,2017-08-15 11:44:26.481000,2017-09-09 02:05:29.312000,airbnb122267520,private_room,1,2,8,3,24
airbnb59ad97668a46551f54f8d56b15,https://www.airbnb.es/rooms/18325161,2.140053290174492,41.43230909458761,2017-08-15 11:44:18.576000,2017-09-09 02:05:33.177000,airbnb126777507,private_room,1,1,18,1,23
airbnb59ad97668a46551f54f8d56b16,https://www.airbnb.es/rooms/8024459,2.1329777732858144,41.42974800582463,2017-08-15 11:44:22.512000,2018-06-07 04:10:43.334000,airbnb1906719,entire_home,2,3,49,2,121
airbnb59ad97668a46551f54f8d56b17,https://www.airbnb.es/rooms/24704617,2.134380528887909,41.42911001430128,2018-05-02 14:49:30.282000,2018-06-07 04:10:47.160000,airbnb138752436,private_room,2,2,0,1,61
airbnb59ad97668a46551f54f8d56b18,https://www.airbnb.es/rooms/6429056,2.1348884178865695,41.42953632124144,2018-04-08 02:52:28.649000,2018-04-21 06:43:08.711000,airbnb7274463,entire_home,3,6,20,3,239
airbnb59ad97668a46551f54f8d56b19,https://www.airbnb.es/rooms/23441670,2.1350807484361303,41.427748587538254,2018-04-12 04:29:26.685000,2018-04-17 14:21:54.153000,airbnb8965423,entire_home,3,6,2,3,218
airbnb59ad97668a46551f54f8d56b20,https://www.airbnb.es/rooms/692480,2.135,41.427,2017-08-15 11:44:34.577000,2018-06-07 04:10:34.921000,airbnb3541131,entire_home,1,2,78,2,61
airbnb59ad97668a46551f54f8d56b21,https://www.airbnb.es/rooms/5191349,2.133794045332546,41.42806033020596,2017-08-15 11:44:26.482000,2018-06-07 04:10:19.585000,airbnb24696466,private_room,0,2,27,2,52
airbnb59ad97668a46551f54f8d56b22,https://www.airbnb.es/rooms/19695986,2.1328865388905003,41.42904484155231,2017-08-15 11:44:18.576000,2018-06-07 04:10:11.692000,airbnb138752436,private_room,1,2,22,1,61
airbnb59ad97668a46551f54f8d56b23,https://www.airbnb.es/rooms/858850,2.1315444327736532,41.42779797112984,2018-04-08 02:52:28.649000,2018-05-12 10:31:23.590000,airbnb4495295,entire_home,3,6,35,7,55
airbnb59ad97668a46551f54f8d56b24,https://www.airbnb.es/rooms/24622012,2.131477921993287,41.42835028189939,2018-05-02 14:49:33.377000,2018-05-02 13:53:19.506000,airbnb186072922,private_room,1,2,0,2,31
airbnb59ad97668a46551f54f8d56b25,https://www.airbnb.es/rooms/24557268,2.1326902709098605,41.42647149591821,2018-04-24 09:45:13.729000,2018-05-12 10:24:10.645000,airbnb35764419,private_room,1,2,1,1,31
airbnb59ad97668a46551f54f8d56b26,https://www.airbnb.es/rooms/24805054,2.138486818182904,41.423275447247235,2018-05-25 11:39:50.047000,2018-06-01 09:45:16.129000,airbnb170247154,entire_home,2,4,0,3,54
airbnb59ad97668a46551f54f8d56b27,https://www.airbnb.es/rooms/23710638,2.1380070966922955,41.42385842536106,2018-04-06 00:11:34.494000,2018-04-20 00:37:43.267000,airbnb177664799,private_room,2,1,0,1,15
airbnb59ad97668a46551f54f8d56b28,https://www.airbnb.es/rooms/18176042,2.1384304748867398,41.425044165890846,2017-08-15 11:44:18.577000,2018-06-07 04:10:39.380000,airbnb125389197,private_room,1,2,13,1,67
airbnb59ad97668a46551f54f8d56b29,https://www.airbnb.es/rooms/17724138,2.1386191232534792,41.42513884381191,2017-08-15 11:44:22.511000,2018-04-17 11:06:58.394000,airbnb120843108,private_room,0,2,8,2,60
airbnb59ad97668a46551f54f8d56b30,https://www.airbnb.es/rooms/25283654,2.1386753128326337,41.42410640824181,2018-05-25 11:39:50.046000,2018-09-21 12:04:50.795000,airbnb74330994,private_room,0,1,15,3,
airbnb59ad97668a46551f54f8d56b31,https://www.airbnb.es/rooms/26299599,2.139728446385648,41.42438797364667,2018-08-27 03:11:30.272000,2018-09-21 12:05:16.629000,airbnb197743415,private_room,0,1,5,90,
airbnb59ad97668a46551f54f8d56b32,https://www.airbnb.es/rooms/16434117,2.1392472661998774,41.425002701150675,2017-08-15 11:44:30.604000,2018-04-17 11:07:01.541000,airbnb40935235,private_room,0,1,0,1,127
airbnb59ad97668a46551f54f8d56b33,https://www.airbnb.es/rooms/24450485,2.1394938045739242,41.424640342896744,2018-04-24 09:45:30.930000,2018-06-01 09:45:01.025000,airbnb137746764,entire_home,4,5,4,3,95
airbnb59ad97668a46551f54f8d56b34,https://www.airbnb.es/rooms/23996187,2.139116717736529,41.426203826087985,2018-04-08 03:40:15.850000,2018-04-17 11:06:55.205000,airbnb132853971,private_room,1,1,0,2,19
