id,url,longitude,latitude,found,revised,host-id,room_type,bedrooms,capacity,reviews,min_nights,price
airbnb59ad97668a46551f54f8d56c1,https://www.airbnb.es/rooms/24669267,2.1849613364188665,41.44079710907553,2018-05-02 14:51:18.335000,2018-06-07 04:41:49.428000,airbnb20763774,private_room,1,2,1,6,22
airbnb59ad97668a46551f54f8d56c2,https://www.airbnb.es/rooms/24839164,2.18514218631942,41.440894733737444,2018-05-09 08:20:57.949000,2018-06-12 23:03:50.457000,airbnb20763774,private_room,0,2,0,5,19
airbnb59ad97668a46551f54f8d56c3,https://www.airbnb.es/rooms/13697183,2.18662070497409,41.44481901142953,2017-08-15 08:05:00.778000,2017-10-09 12:00:49.092000,airbnb2860168,private_room,1,2,37,3,33
airbnb59ad97668a46551f54f8d56c4,https://www.airbnb.es/rooms/24282291,2.184810123879792,41.444446031232815,2018-08-27 20:38:54.268000,2018-09-23 21:43:03.608000,airbnb183151447,private_room,1,2,2,30,
airbnb59ad97668a46551f54f8d56c5,https://www.airbnb.es/rooms/21656685,2.1851617674531916,41.44480977583311,2018-04-08 02:54:25.387000,2018-09-23 21:18:53.308000,airbnb157621825,private_room,2,2,8,2,
airbnb59ad97668a46551f54f8d56c6,https://www.airbnb.es/rooms/14933985,2.18443433891158,41.4476043803465,2017-08-15 08:05:00.778000,2018-06-07 04:42:32.891000,airbnb93915198,private_room,1,2,12,2,51
airbnb59ad97668a46551f54f8d56c7,https://www.airbnb.es/rooms/14906413,2.184549208891481,41.4477355512251,2017-08-15 08:04:51.658000,2018-06-07 04:41:59.959000,airbnb92873591,private_room,1,2,27,2,41
airbnb59ad97668a46551f54f8d56c8,https://www.airbnb.es/rooms/22860004,2.1847514297756025,41.448302699807584,2018-04-08 02:54:18.803000,2018-04-21 07:15:33.066000,airbnb163447308,private_room,0,4,0,1,25
airbnb59ad97668a46551f54f8d56c9,https://www.airbnb.es/rooms/22147100,2.1845699070987354,41.44903971820424,2018-04-08 02:54:25.387000,2018-06-07 04:45:22.157000,airbnb161743274,entire_home,0,2,1,1,61
airbnb59ad97668a46551f54f8d56c10,https://www.airbnb.es/rooms/14934380,2.185674922722554,41.4490737685112,2017-08-15 08:04:51.658000,2018-06-07 04:45:00.552000,airbnb93915198,private_room,1,2,28,2,44
airbnb59ad97668a46551f54f8d56c11,https://www.airbnb.es/rooms/19711739,2.1875973562994626,41.44952619029056,2017-08-15 08:05:23.450000,2017-09-10 06:02:48.213000,airbnb34964499,private_room,1,1,0,3,35
airbnb59ad97668a46551f54f8d56c12,https://www.airbnb.es/rooms/20724431,2.1854326406914977,41.4554193132444,2017-09-05 11:52:53.863000,2018-04-21 07:16:18.452000,airbnb137972924,private_room,1,2,1,2,48
airbnb59ad97668a46551f54f8d56c13,https://www.airbnb.es/rooms/19618742,2.185149076295163,41.4569892229252,2017-08-15 08:04:43.609000,2018-04-21 07:16:02.391000,airbnb137972924,private_room,1,2,6,1,41
airbnb59ad97668a46551f54f8d56c14,https://www.airbnb.es/rooms/8398657,2.179478280597006,41.46024655045605,2017-08-15 08:05:23.450000,2018-09-17 01:05:09.042000,airbnb44248922,private_room,0,1,14,2,
airbnb59ad97668a46551f54f8d56c15,https://www.airbnb.es/rooms/20759099,2.1805713496446857,41.45941910248181,2017-09-05 11:52:12.730000,2018-09-17 01:43:47.705000,airbnb9404892,private_room,1,2,4,31,
airbnb59ad97668a46551f54f8d56c16,https://www.airbnb.es/rooms/19617586,2.1832983188524455,41.45628376687336,2017-08-15 08:04:55.969000,2018-04-21 07:16:21.740000,airbnb137972924,private_room,2,4,16,1,83
airbnb59ad97668a46551f54f8d56c17,https://www.airbnb.es/rooms/667181,2.1839461747640687,41.4555432704663,2017-08-15 08:04:43.610000,2018-09-26 10:54:50.904000,airbnb3235383,private_room,1,2,177,2,
airbnb59ad97668a46551f54f8d56c18,https://www.airbnb.es/rooms/7640768,2.182875867554724,41.45425999918004,2018-04-08 02:54:10.930000,2018-09-26 10:56:43.313000,airbnb3235383,private_room,1,3,48,2,
airbnb59ad97668a46551f54f8d56c19,https://www.airbnb.es/rooms/7605992,2.183467380320176,41.45412769063865,2017-08-15 08:05:00.778000,2018-09-26 10:55:08.050000,airbnb3235383,private_room,1,2,89,1,
