id,url,longitude,latitude,found,revised,host-id,room_type,bedrooms,capacity,reviews,min_nights,price
airbnb59ad97668a46551f54f8d5671,https://www.airbnb.es/rooms/22137498,2.136043616101915,41.38174661500467,2018-04-24 09:59:24.516000,2018-05-12 12:37:25.877000,airbnb69315334,private_room,2,1,15,1,23
airbnb59ad97668a46551f54f8d5672,https://www.airbnb.es/rooms/20247964,2.1366488512970565,41.381568030377835,2017-08-15 15:10:38.094000,2017-09-09 03:12:07.622000,airbnb79818036,private_room,1,2,2,3,40
airbnb59ad97668a46551f54f8d5673,https://www.airbnb.es/rooms/23849583,2.136741012619902,41.38155628874834,2018-04-08 03:26:52.296000,2018-06-01 09:19:14.537000,airbnb126008674,private_room,0,2,1,2,42
airbnb59ad97668a46551f54f8d5674,https://www.airbnb.es/rooms/20626831,2.1368649770703794,41.38154574024426,2017-09-05 12:15:14.420000,2017-09-09 03:12:10.854000,airbnb28860348,entire_home,2,3,0,3,95
airbnb59ad97668a46551f54f8d5675,https://www.airbnb.es/rooms/5745361,2.1368573245014515,41.38182326053243,2017-08-15 15:10:50.291000,2018-09-22 11:00:18.586000,airbnb27540411,private_room,1,2,3,2,
airbnb59ad97668a46551f54f8d5676,https://www.airbnb.es/rooms/23642738,2.1370389661692526,41.38221652705027,2018-04-08 03:26:38.968000,2018-05-12 12:34:51.643000,airbnb17532317,private_room,1,3,0,2,55
airbnb59ad97668a46551f54f8d5677,https://www.airbnb.es/rooms/20532022,2.1370542455654373,41.38220623318873,2017-09-05 12:15:18.776000,2017-09-09 03:12:36.688000,airbnb146597921,private_room,1,2,0,2,36
airbnb59ad97668a46551f54f8d5678,https://www.airbnb.es/rooms/12418293,2.13709833668298,41.381730441027216,2017-08-15 15:10:30.154000,2018-06-01 09:10:32.714000,airbnb61220134,private_room,1,2,44,1,46
airbnb59ad97668a46551f54f8d5679,https://www.airbnb.es/rooms/23543883,2.137683787415286,41.3815148451745,2018-04-24 09:59:16.005000,2018-09-22 11:07:21.812000,airbnb175873472,entire_home,3,6,6,3,
airbnb59ad97668a46551f54f8d56710,https://www.airbnb.es/rooms/22527636,2.13771764121656,41.381711447637585,2018-04-24 09:59:35.350000,2018-09-22 11:15:45.197000,airbnb165410754,private_room,1,2,0,1,
airbnb59ad97668a46551f54f8d56711,https://www.airbnb.es/rooms/20205877,2.1376744295410988,41.381962708953004,2017-08-15 15:10:58.647000,2017-09-09 03:12:56.606000,airbnb79818036,entire_home,4,6,1,4,125
airbnb59ad97668a46551f54f8d56712,https://www.airbnb.es/rooms/21333938,2.1378794460715933,41.38185684578735,2018-05-05 03:04:10.436000,2018-06-01 09:10:35.632000,airbnb75706817,private_room,0,2,1,2,54
airbnb59ad97668a46551f54f8d56713,https://www.airbnb.es/rooms/12373247,2.138,41.382,2017-09-05 12:15:23.064000,2018-09-22 11:07:00.345000,airbnb17532317,entire_home,0,4,124,1,
airbnb59ad97668a46551f54f8d56714,https://www.airbnb.es/rooms/14711942,2.138,41.382,2017-09-05 12:15:23.064000,2018-09-22 10:48:42.755000,airbnb17532317,entire_home,3,10,73,2,
airbnb59ad97668a46551f54f8d56715,https://www.airbnb.es/rooms/12256600,2.138,41.382,2017-08-15 15:10:46.153000,2018-09-22 10:49:48.269000,airbnb17532317,entire_home,0,4,130,1,
airbnb59ad97668a46551f54f8d56716,https://www.airbnb.es/rooms/11737208,2.138,41.382,2017-08-15 15:10:46.152000,2018-09-22 10:56:13.321000,airbnb17532317,entire_home,2,4,110,1,
airbnb59ad97668a46551f54f8d56717,https://www.airbnb.es/rooms/2005972,2.138438402323561,41.38220588098313,2017-08-15 15:10:50.291000,2018-09-22 11:31:15.810000,airbnb8232918,entire_home,0,5,26,4,
airbnb59ad97668a46551f54f8d56718,https://www.airbnb.es/rooms/15321962,2.1381308985175695,41.382251960998666,2017-08-15 15:10:46.153000,2017-09-09 03:13:04.616000,airbnb51605080,private_room,2,7,6,2,75
airbnb59ad97668a46551f54f8d56719,https://www.airbnb.es/rooms/705446,2.1388104939205865,41.38294245292959,2018-04-24 09:59:44.470000,2018-06-01 09:19:04.873000,airbnb2145704,entire_home,1,4,9,2,108
airbnb59ad97668a46551f54f8d56720,https://www.airbnb.es/rooms/1864019,2.1394150440246142,41.38299468582882,2018-08-27 06:13:34.173000,2018-09-22 11:30:47.392000,airbnb8720687,entire_home,0,2,5,32,
airbnb59ad97668a46551f54f8d56721,https://www.airbnb.es/rooms/1642736,2.1395895055882788,41.3823330610402,2018-08-27 06:13:32.079000,2018-09-22 11:11:43.902000,airbnb8720687,entire_home,0,3,12,32,
airbnb59ad97668a46551f54f8d56722,https://www.airbnb.es/rooms/12060481,2.1396567465597562,41.382605258741975,2017-08-15 15:10:30.154000,2017-09-09 03:13:24.719000,airbnb27413056,private_room,1,1,4,1,34
airbnb59ad97668a46551f54f8d56723,https://www.airbnb.es/rooms/18942359,2.13906726885036,41.38163915258514,2017-08-15 15:10:50.290000,2018-09-22 11:13:42.043000,airbnb3744544,entire_home,4,7,29,3,
airbnb59ad97668a46551f54f8d56724,https://www.airbnb.es/rooms/5268514,2.1402550440393413,41.38229544591118,2017-08-15 15:10:50.290000,2018-09-22 11:12:27.159000,airbnb12984056,entire_home,3,5,173,2,
airbnb59ad97668a46551f54f8d56725,https://www.airbnb.es/rooms/1312959,2.1410686164515105,41.381456738214325,2017-08-15 15:11:07.343000,2018-04-29 23:11:56.976000,airbnb7134760,entire_home,4,8,30,3,225
airbnb59ad97668a46551f54f8d56726,https://www.airbnb.es/rooms/12902857,2.141880381417835,41.38136144993464,2017-08-15 15:10:50.290000,2018-04-17 08:29:57.420000,airbnb13074706,private_room,0,2,4,3,50
airbnb59ad97668a46551f54f8d56727,https://www.airbnb.es/rooms/7437270,2.1420265069400983,41.38217146222296,2018-04-08 03:27:00.112000,2018-09-22 11:17:11.027000,airbnb13074706,private_room,0,1,9,1,
airbnb59ad97668a46551f54f8d56728,https://www.airbnb.es/rooms/18594078,2.1420523026066336,41.38256389208761,2018-08-27 06:13:36.696000,2018-09-22 11:16:44.519000,airbnb13074706,private_room,0,1,0,90,
airbnb59ad97668a46551f54f8d56729,https://www.airbnb.es/rooms/8485311,2.141490759227765,41.38320752016099,2017-08-15 15:10:54.490000,2017-10-10 20:01:10.952000,airbnb44688298,private_room,1,1,3,1,15
airbnb59ad97668a46551f54f8d56730,https://www.airbnb.es/rooms/7342435,2.14240015611762,41.38291082577324,2017-08-15 17:24:32.509000,2018-09-22 11:11:29.726000,airbnb15920367,private_room,1,2,71,2,
airbnb59ad97668a46551f54f8d56731,https://www.airbnb.es/rooms/8647150,2.141432548681121,41.38333739950665,2017-08-15 15:10:54.490000,2018-09-22 10:38:54.912000,airbnb8130969,entire_home,3,6,65,4,
